species,acoustic_index,temporal_pearson_r,temporal_pearson_p,temporal_spearman_r,temporal_spearman_p,circadian_r,circadian_p,best_lag,best_lag_r,best_lag_p,max_correlation
Bottlenose dolphin echolocation,Bottlenose dolphin whistles,0.20971461770933497,1.340043748526721e-44,0.2449130574993512,1.1498675125664911e-60,-0.34023727331077436,0.2791947618970748,0.0,0.20971461770933497,1.340043748526721e-44,0.34023727331077436
Bottlenose dolphin echolocation,Bottlenose dolphin whistles,0.20971461770933497,1.340043748526721e-44,0.2449130574993512,1.1498675125664911e-60,-0.022670646671350006,0.9442471701313333,0.0,0.09602904014470692,2.0237831672055852e-10,0.2449130574993512
Bottlenose dolphin echolocation,Bottlenose dolphin whistles,0.20971461770933497,1.340043748526721e-44,0.2449130574993512,1.1498675125664911e-60,-0.022670646671350006,0.9442471701313333,0.0,0.12541681927502024,9.056915097098524e-17,0.2449130574993512
Bottlenose dolphin echolocation,Bottlenose dolphin whistles,0.20971461770933497,1.340043748526721e-44,0.2449130574993512,1.1498675125664911e-60,-0.022670646671350006,0.9442471701313333,0.0,0.20971461770933497,1.340043748526721e-44,0.2449130574993512
Bottlenose dolphin echolocation,Bottlenose dolphin whistles,0.20971461770933497,1.340043748526721e-44,0.2449130574993512,1.1498675125664911e-60,0.5137322082022391,0.08754983944487946,0.0,0.09602904014470692,2.0237831672055852e-10,0.5137322082022391
Bottlenose dolphin echolocation,Bottlenose dolphin whistles,0.20971461770933497,1.340043748526721e-44,0.2449130574993512,1.1498675125664911e-60,0.5137322082022391,0.08754983944487946,0.0,0.12541681927502024,9.056915097098524e-17,0.5137322082022391
Bottlenose dolphin echolocation,Bottlenose dolphin whistles,0.20971461770933497,1.340043748526721e-44,0.2449130574993512,1.1498675125664911e-60,0.5137322082022391,0.08754983944487946,0.0,0.20971461770933497,1.340043748526721e-44,0.5137322082022391
Bottlenose dolphin echolocation,ZCR,0.02596846462967812,0.08618411579599133,0.020981262550282827,0.16566559516722804,-0.028446848516342896,0.9300695626203412,6.0,-0.060456290658762346,6.459258861307441e-05,0.060456290658762346
Bottlenose dolphin echolocation,ZCR,0.02596846462967812,0.08618411579599133,0.020981262550282827,0.16566559516722804,-0.028446848516342896,0.9300695626203412,3.0,0.1864803999554147,1.9913246869900377e-35,0.1864803999554147
Bottlenose dolphin echolocation,ZCR,0.02596846462967812,0.08618411579599133,0.020981262550282827,0.16566559516722804,-0.028446848516342896,0.9300695626203412,0.0,0.02596846462967812,0.08618411579599133,0.028446848516342896
Bottlenose dolphin echolocation,ZCR,0.02596846462967812,0.08618411579599133,0.020981262550282827,0.16566559516722804,-0.7337087018712506,0.006605544922354888,6.0,-0.060456290658762346,6.459258861307441e-05,0.7337087018712506
Bottlenose dolphin echolocation,ZCR,0.02596846462967812,0.08618411579599133,0.020981262550282827,0.16566559516722804,-0.7337087018712506,0.006605544922354888,3.0,0.1864803999554147,1.9913246869900377e-35,0.7337087018712506
Bottlenose dolphin echolocation,ZCR,0.02596846462967812,0.08618411579599133,0.020981262550282827,0.16566559516722804,-0.7337087018712506,0.006605544922354888,0.0,0.02596846462967812,0.08618411579599133,0.7337087018712506
Bottlenose dolphin echolocation,ZCR,0.02596846462967812,0.08618411579599133,0.020981262550282827,0.16566559516722804,0.17223864576198722,0.5924561631532566,6.0,-0.060456290658762346,6.459258861307441e-05,0.17223864576198722
Bottlenose dolphin echolocation,ZCR,0.02596846462967812,0.08618411579599133,0.020981262550282827,0.16566559516722804,0.17223864576198722,0.5924561631532566,3.0,0.1864803999554147,1.9913246869900377e-35,0.1864803999554147
Bottlenose dolphin echolocation,ZCR,0.02596846462967812,0.08618411579599133,0.020981262550282827,0.16566559516722804,0.17223864576198722,0.5924561631532566,0.0,0.02596846462967812,0.08618411579599133,0.17223864576198722
Bottlenose dolphin echolocation,MEANt,-0.010463284563139195,0.48939641615627166,-0.002839182049719059,0.8512144266592244,-0.4033795874920822,0.19350319131106475,5.0,-0.01983505247528064,0.1902234602852605,0.4033795874920822
Bottlenose dolphin echolocation,MEANt,-0.010463284563139195,0.48939641615627166,-0.002839182049719059,0.8512144266592244,-0.4033795874920822,0.19350319131106475,1.0,0.020190496451024848,0.18235147652389067,0.4033795874920822
