species,acoustic_index,pearson_r,pearson_p,spearman_r,spearman_p,station
Oyster toadfish boat whistle,KURTf,-0.05683040623741585,0.0001713235392321258,0.07422512780711493,9.062574156038897e-07,14M
Oyster toadfish boat whistle,NBPEAKS,-0.03408397305126025,0.02428132837753793,0.00848750218986264,0.5749367797597913,14M
Oyster toadfish boat whistle,LEQf,0.2659657863864208,1.2635671071235139e-71,0.35436798275211373,2.0430667553469554e-129,14M
Oyster toadfish boat whistle,ENRf,0.26596578638339063,1.2635671119220936e-71,0.35436798275211373,2.0430667553469554e-129,14M
Oyster toadfish boat whistle,BGNf,0.26976584349644817,1.0379922573849679e-73,0.366341034891721,7.827597332095363e-139,14M
Oyster toadfish boat whistle,SNRf,-0.21747857462983608,6.409733577001174e-48,-0.248092472953164,2.880040535045921e-62,14M
Oyster toadfish boat whistle,Hf,0.08265812680268977,4.481466280338351e-08,0.0038129407306285844,0.8010957337710908,14M
Oyster toadfish boat whistle,EAS,-0.28596391703260654,5.520679998000168e-83,-0.3389530158422133,7.0287175695983735e-118,14M
Oyster toadfish boat whistle,ECU,-0.2613411213040769,3.9252635494908413e-69,-0.28381426389722336,1.021029148231167e-81,14M
Oyster toadfish boat whistle,ECV,-0.2506063398352224,1.5406305916101752e-63,-0.30042826485354523,8.366796517907975e-92,14M
Oyster toadfish boat whistle,EPS,0.288884042119092,1.0065577584894897e-84,0.3189318160881642,7.546475568038277e-104,14M
Oyster toadfish boat whistle,EPS_KURT,0.3723629535298944,1.0066906153669686e-143,0.3823689200914054,4.391733720387138e-152,14M
Oyster toadfish boat whistle,EPS_SKEW,0.36945350240054475,2.3927162273550248e-141,0.3814343092609361,2.7292487547865228e-151,14M
Oyster toadfish boat whistle,ACI,-0.029850718250195238,0.048525856809606555,-0.0522149024433401,0.000555840867107453,14M
Oyster toadfish boat whistle,NDSI,-0.07717965809763169,3.272658222239435e-07,-0.28227340318380567,8.13526617985123e-81,14M
Oyster toadfish boat whistle,rBA,-0.07717965809232082,3.2726582283415903e-07,-0.28227340318380567,8.13526617985123e-81,14M
Oyster toadfish boat whistle,AnthroEnergy,-0.10237899756861288,1.1835547814374764e-11,0.35701323673698065,1.8390906757063916e-131,14M
Oyster toadfish boat whistle,BioEnergy,0.28272594184871447,4.428450138359542e-81,0.3613574610616659,7.284632279849104e-135,14M
Oyster toadfish boat whistle,BI,-0.3709506919380807,1.4430396806326465e-142,-0.35217124432719915,9.869054304464964e-128,14M
Oyster toadfish boat whistle,ROU,-0.003671635251333698,0.8083208225544286,0.342472503733663,1.8624037027147777e-120,14M
Oyster toadfish boat whistle,ADI,0.028956825449499252,0.05566685888202969,0.10332391293805854,7.640252387255479e-12,14M
Oyster toadfish boat whistle,AEI,-0.06729233970676929,8.539948132253396e-06,-0.1165190172799642,1.1188727559620286e-14,14M
Oyster toadfish boat whistle,LFC,0.4102947185831457,5.105020031724334e-177,0.4435852393229846,5.0414865588622116e-210,14M
Oyster toadfish boat whistle,MFC,0.3398368898241302,1.595489931765493e-118,0.40348813512796294,1.0202106309713944e-170,14M
Oyster toadfish boat whistle,HFC,0.3564127301294666,5.379182430686052e-131,0.3928072255128153,4.010370362014862e-161,14M
Oyster toadfish boat whistle,ACTspFract,0.3605848504142808,2.9605584873459354e-134,0.40400229741489996,3.450320076255645e-171,14M
Oyster toadfish boat whistle,ACTspCount,0.3603070603698058,4.896807208962205e-134,0.4035565962518768,8.831741836888394e-171,14M
Oyster toadfish boat whistle,ACTspMean,-0.08314838355348661,3.727353682552363e-08,-0.08866028442076174,4.370652288324404e-09,14M
Oyster toadfish boat whistle,EVNspFract,0.39701275138200753,7.372098521670588e-165,0.4683239952643897,4.684959213167331e-237,14M
Oyster toadfish boat whistle,EVNspMean,0.0733029467635663,1.2359072068950595e-06,0.19933140249937545,2.196163648583985e-40,14M
Oyster toadfish boat whistle,EVNspCount,0.39805362412307466,8.602241317448946e-166,0.4679085530164098,1.3909846488882875e-236,14M
